id,organization_id,url,type,species,breeds,colors,age,gender,size,coat,attributes,environment,tags,name,description,organization_animal_id,photos,primary_photo_cropped,videos,status,status_changed_at,published_at,distance,contact,_links
48555420,IL599,https://www.petfinder.com/dog/ruff-48555420/il/batavia/starfish-animal-rescue-il599/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Terrier', 'secondary': 'Pug', 'mixed': 'True', 'unknown': 'False'}","{'primary': 'Brindle', 'secondary': 'Brown / Chocolate', 'tertiary': 'None'}",Young,Male,Small,Short,"{'spayed_neutered': 'True', 'house_trained': 'True', 'declawed': 'None', 'special_needs': 'False', 'shots_current': 'True'}","{'children': 'None', 'dogs': 'True', 'cats': 'None'}",[],Ruff,"Meet Ruff, Ruff is a smaller breed - probably around 10 lbs at  6-7  months old and a complete mix...",None,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48555420/3/?bust=1595364733&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48555420/3/?bust=1595364733&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48555420/3/?bust=1595364733&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48555420/3/?bust=1595364733'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48555420/1/?bust=1595364732&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48555420/1/?bust=1595364732&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48555420/1/?bust=1595364732&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48555420/1/?bust=1595364732'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48555420/2/?bust=1595364733&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48555420/2/?bust=1595364733&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48555420/2/?bust=1595364733&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48555420/2/?bust=1595364733'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48555420/3/?bust=1595364733&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48555420/3/?bust=1595364733&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48555420/3/?bust=1595364733&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48555420/3/?bust=1595364733'}",[],adopted,2020-08-16 18:21:00+00:00,2020-07-21 20:52:42+00:00,None,"{'email': 'starfishanimalrescuer@gmail.com', 'phone': 'None', 'address': {'address1': 'Batavia', 'address2': 'None', 'city': 'Batavia', 'state': 'IL', 'postcode': '60510', 'country': 'US'}}","{'self': {'href': '/v2/animals/48555420'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/il599'}}"
48549950,FL249,https://www.petfinder.com/dog/delilah-48549950/fl/clermont/south-lake-animal-league-fl249/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'German Shepherd Dog', 'secondary': 'None', 'mixed': 'True', 'unknown': 'False'}","{'primary': 'Black', 'secondary': 'Yellow / Tan / Blond / Fawn', 'tertiary': 'None'}",Adult,Female,Medium,Medium,"{'spayed_neutered': 'True', 'house_trained': 'False', 'declawed': 'None', 'special_needs': 'False', 'shots_current': 'True'}","{'children': 'None', 'dogs': 'None', 'cats': 'None'}",[],Delilah,"______ DOB/AGE: 07/10/2019 WEIGHT (GROWN):  55-60 lbs   I am currently in foster care, but very much adoptable.  You will need...",None,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549950/1/?bust=1595337409&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549950/1/?bust=1595337409&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549950/1/?bust=1595337409&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549950/1/?bust=1595337409'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549950/1/?bust=1595337409&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549950/1/?bust=1595337409&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549950/1/?bust=1595337409&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549950/1/?bust=1595337409'}",[],adopted,2020-07-31 01:39:20+00:00,2020-07-21 13:17:11+00:00,None,"{'email': 'adoptions@theanimalleague.org', 'phone': '(352) 429-6334', 'address': {'address1': '4648 Baptist Island Road', 'address2': 'Groveland FL 32736', 'city': 'Clermont', 'state': 'FL', 'postcode': '34712', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549950'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/fl249'}}"
48550360,NC1092,https://www.petfinder.com/dog/red-48550360/nc/raleigh/freedom-ride-rescue-nc1092/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Dogue de Bordeaux', 'secondary': 'Mixed Breed', 'mixed': 'True', 'unknown': 'False'}","{'primary': 'Red / Chestnut / Orange', 'secondary': 'None', 'tertiary': 'None'}",Adult,Male,Extra Large,None,"{'spayed_neutered': 'True', 'house_trained': 'False', 'declawed': 'None', 'special_needs': 'False', 'shots_current': 'True'}","{'children': 'None', 'dogs': 'None', 'cats': 'None'}","['Does well in the car', 'Food Motivated', 'House Trained', 'Moderate Energy', 'Needs Training', 'No Cats', 'Owner Experience', 'Shy timid']",Red,"Okay people, prepare yourself for this face. Meet big Red! Red is a French mastiff, whose heart is as big...",FRR-A-411,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/1/?bust=1597245026&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/1/?bust=1597245026&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/1/?bust=1597245026&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/1/?bust=1597245026'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/2/?bust=1597342229&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/2/?bust=1597342229&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/2/?bust=1597342229&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/2/?bust=1597342229'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/4/?bust=1597342227&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/4/?bust=1597342227&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/4/?bust=1597342227&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/4/?bust=1597342227'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/6/?bust=1597342227&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/6/?bust=1597342227&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/6/?bust=1597342227&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/6/?bust=1597342227'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/3/?bust=1597342226&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/3/?bust=1597342226&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/3/?bust=1597342226&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/3/?bust=1597342226'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/5/?bust=1597338624&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/5/?bust=1597338624&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/5/?bust=1597338624&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/5/?bust=1597338624'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/1/?bust=1597245026&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/1/?bust=1597245026&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/1/?bust=1597245026&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/1/?bust=1597245026'}",[],adoptable,2020-07-21 14:00:23+00:00,2020-07-21 14:00:23+00:00,None,"{'email': 'adopt@freedom-ride.org', 'phone': 'None', 'address': {'address1': 'None', 'address2': 'None', 'city': 'Raleigh', 'state': 'NC', 'postcode': '27604', 'country': 'US'}}","{'self': {'href': '/v2/animals/48550360'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/nc1092'}}"
48550730,KY519,https://www.petfinder.com/dog/louie-48550730/oh/cincinnati/little-hills-of-kentucky-animal-rescue-inc-ky519/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Labrador Retriever', 'secondary': 'Black Mouth Cur', 'mixed': 'True', 'unknown': 'False'}","{'primary': 'None', 'secondary': 'None', 'tertiary': 'None'}",Young,Male,Medium,None,"{'spayed_neutered': 'True', 'house_trained': 'True', 'declawed': 'None', 'special_needs': 'False', 'shots_current': 'True'}","{'children': 'True', 'dogs': 'True', 'cats': 'True'}",[],Louie,Louie is 15 months old and 42 lbs. He is a German Shepherd/Black Mouth Curr mix. He is friendly and...,None,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550730/3/?bust=1595361932&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550730/3/?bust=1595361932&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550730/3/?bust=1595361932&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550730/3/?bust=1595361932'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550730/1/?bust=1595361739&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550730/1/?bust=1595361739&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550730/1/?bust=1595361739&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550730/1/?bust=1595361739'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550730/2/?bust=1595361743&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550730/2/?bust=1595361743&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550730/2/?bust=1595361743&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550730/2/?bust=1595361743'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550730/3/?bust=1595361932&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550730/3/?bust=1595361932&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550730/3/?bust=1595361932&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550730/3/?bust=1595361932'}",[],adopted,2020-07-26 15:50:42+00:00,2020-07-21 20:05:39+00:00,None,"{'email': 'lhkyrescue@gmail.com', 'phone': 'None', 'address': {'address1': 'None', 'address2': 'None', 'city': 'Cincinnati', 'state': 'OH', 'postcode': '45211', 'country': 'US'}}","{'self': {'href': '/v2/animals/48550730'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/ky519'}}"
48552648,WI128,https://www.petfinder.com/dog/kenny-48552648/wi/hayward/northwoods-humane-society-wi128/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Border Collie', 'secondary': 'None', 'mixed': 'True', 'unknown': 'False'}","{'primary': 'None', 'secondary': 'None', 'tertiary': 'None'}",Adult,Male,Medium,Long,"{'spayed_neutered': 'True', 'house_trained': 'True', 'declawed': 'None', 'special_needs': 'False', 'shots_current': 'True'}","{'children': 'None', 'dogs': 'None', 'cats': 'None'}",[],Kenny,"My name is Kenny. I&#039;m a 1 yr old, male border collie mix. I am a very sweet boy. I...",None,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48552648/1/?bust=1595351794&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48552648/1/?bust=1595351794&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48552648/1/?bust=1595351794&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48552648/1/?bust=1595351794'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48552648/2/?bust=1595351832&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48552648/2/?bust=1595351832&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48552648/2/?bust=1595351832&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48552648/2/?bust=1595351832'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48552648/1/?bust=1595351794&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48552648/1/?bust=1595351794&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48552648/1/?bust=1595351794&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48552648/1/?bust=1595351794'}",[],adopted,2020-07-23 16:00:20+00:00,2020-07-21 17:17:43+00:00,None,"{'email': 'paws@northwoodshumanesociety.org', 'phone': '(715) 634-5394', 'address': {'address1': 'PO Box 82', 'address2': '10812N OBrien Hill Road', 'city': 'Hayward', 'state': 'WI', 'postcode': '54843', 'country': 'US'}}","{'self': {'href': '/v2/animals/48552648'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/wi128'}}"
48549792,OH1071,https://www.petfinder.com/dog/stormy-48549792/oh/wadsworth/maggies-mission-oh1071/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Labrador Retriever', 'secondary': 'None', 'mixed': 'True', 'unknown': 'False'}","{'primary': 'Black', 'secondary': 'None', 'tertiary': 'None'}",Senior,Male,Large,Medium,"{'spayed_neutered': 'True', 'house_trained': 'True', 'declawed': 'None', 'special_needs': 'False', 'shots_current': 'True'}","{'children': 'True', 'dogs': 'True', 'cats': 'True'}",[],Stormy,What’s better than one laid back sweet cuddle bug? How about TWO laid back sweet cuddle bugs??   Rusty and Stormy...,None,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/3/?bust=1595335643&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/3/?bust=1595335643&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/3/?bust=1595335643&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/3/?bust=1595335643'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/1/?bust=1595335611&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/1/?bust=1595335611&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/1/?bust=1595335611&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/1/?bust=1595335611'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/2/?bust=1595335625&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/2/?bust=1595335625&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/2/?bust=1595335625&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/2/?bust=1595335625'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/4/?bust=1595335674&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/4/?bust=1595335674&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/4/?bust=1595335674&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/4/?bust=1595335674'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/3/?bust=1595335643&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/3/?bust=1595335643&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/3/?bust=1595335643&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/3/?bust=1595335643'}",[],adopted,2020-08-02 21:26:02+00:00,2020-07-21 12:49:55+00:00,None,"{'email': 'maggiesmissionrescue@gmail.com', 'phone': 'None', 'address': {'address1': 'None', 'address2': 'None', 'city': 'Wadsworth', 'state': 'OH', 'postcode': '44281', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549792'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/oh1071'}}"
48551137,NM42,https://www.petfinder.com/dog/copper-48551137/nm/las-cruces/animal-service-center-of-the-mesilla-valley-nm42/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Mixed Breed', 'secondary': 'None', 'mixed': 'False', 'unknown': 'False'}","{'primary': 'Black', 'secondary': 'White / Cream', 'tertiary': 'None'}",Adult,Female,Medium,None,"{'spayed_neutered': 'False', 'house_trained': 'False', 'declawed': 'None', 'special_needs': 'False', 'shots_current': 'True'}","{'children': 'None', 'dogs': 'None', 'cats': 'None'}",[],Copper,None,ASC-A-29708,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551137/1/?bust=1597340741&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551137/1/?bust=1597340741&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551137/1/?bust=1597340741&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551137/1/?bust=1597340741'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551137/1/?bust=1597340741&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551137/1/?bust=1597340741&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551137/1/?bust=1597340741&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551137/1/?bust=1597340741'}",[],adoptable,2020-07-21 15:35:14+00:00,2020-07-21 15:35:14+00:00,None,"{'email': 'pdeal@las-cruces.org', 'phone': '(575) 382-0018', 'address': {'address1': '3551 Bataan Memorial West', 'address2': 'None', 'city': 'Las Cruces', 'state': 'NM', 'postcode': '88012', 'country': 'US'}}","{'self': {'href': '/v2/animals/48551137'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/nm42'}}"
48549854,FL1398,https://www.petfinder.com/dog/christian-48549854/fl/pompano-beach/naias-pet-rescue-fl1398/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Australian Shepherd', 'secondary': 'None', 'mixed': 'True', 'unknown': 'False'}","{'primary': 'None', 'secondary': 'None', 'tertiary': 'None'}",Adult,Male,Large,None,"{'spayed_neutered': 'True', 'house_trained': 'True', 'declawed': 'None', 'special_needs': 'False', 'shots_current': 'True'}","{'children': 'None', 'dogs': 'True', 'cats': 'False'}",[],Christian,Meet Christian!!  Christian was found by a police officer living under an abandoned car In a yard for two years....,14879345,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/1/?bust=1597236010&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/1/?bust=1597236010&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/1/?bust=1597236010&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/1/?bust=1597236010'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/3/?bust=1597236010&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/3/?bust=1597236010&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/3/?bust=1597236010&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/3/?bust=1597236010'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/2/?bust=1597236007&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/2/?bust=1597236007&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/2/?bust=1597236007&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/2/?bust=1597236007'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/1/?bust=1597236010&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/1/?bust=1597236010&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/1/?bust=1597236010&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/1/?bust=1597236010'}",[],adopted,2020-07-21 12:53:20+00:00,2020-07-21 12:53:20+00:00,None,"{'email': 'naiaspetrescue@gmail.com', 'phone': '954947PETS', 'address': {'address1': 'None', 'address2': 'None', 'city': 'Pompano Beach', 'state': 'FL', 'postcode': '33064', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549854'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/fl1398'}}"
48551072,MO652,https://www.petfinder.com/dog/jasper-48551072/mo/st-louis/needy-paws-rescue-mo652/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Chihuahua', 'secondary': 'None', 'mixed': 'True', 'unknown': 'False'}","{'primary': 'None', 'secondary': 'None', 'tertiary': 'None'}",Adult,Male,Small,None,"{'spayed_neutered': 'True', 'house_trained': 'True', 'declawed': 'None', 'special_needs': 'False', 'shots_current': 'True'}","{'children': 'True', 'dogs': 'True', 'cats': 'None'}",[],Jasper,"Meet Jasper...an adorable little 1 year old Chiweenie, weighing 8 pounds. He came to us from a rural area in...",15858295-200712-0548,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551072/1/?bust=1597357267&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551072/1/?bust=1597357267&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551072/1/?bust=1597357267&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551072/1/?bust=1597357267'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551072/3/?bust=1597357290&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551072/3/?bust=1597357290&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551072/3/?bust=1597357290&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551072/3/?bust=1597357290'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551072/2/?bust=1597357268&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551072/2/?bust=1597357268&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551072/2/?bust=1597357268&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551072/2/?bust=1597357268'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551072/1/?bust=1597357267&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551072/1/?bust=1597357267&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551072/1/?bust=1597357267&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48551072/1/?bust=1597357267'}",[],adopted,2020-07-24 16:36:25+00:00,2020-07-21 15:27:16+00:00,None,"{'email': 'needypawsstl@gmail.com', 'phone': ' ', 'address': {'address1': 'None', 'address2': 'None', 'city': 'St. Louis', 'state': 'MO', 'postcode': '63125', 'country': 'US'}}","{'self': {'href': '/v2/animals/48551072'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/mo652'}}"
48550819,IA186,https://www.petfinder.com/dog/wendy-peffercorn-48550819/ia/de-soto/aheinz57-pet-rescue-and-transport-inc-ia186/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Terrier', 'secondary': 'Mixed Breed', 'mixed': 'True', 'unknown': 'False'}","{'primary': 'None', 'secondary': 'None', 'tertiary': 'None'}",Adult,Female,Small,None,"{'spayed_neutered': 'True', 'house_trained': 'False', 'declawed': 'None', 'special_needs': 'False', 'shots_current': 'False'}","{'children': 'None', 'dogs': 'None', 'cats': 'None'}",[],Wendy Peffercorn,Calling all sandlot fans!Meet Wendy Dawn Peffercorn! She was the momma to the beautiful &amp;#34;Sandlot&amp;#34; litter. Her 6 babies have...,43855791,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550819/1/?bust=1597360599&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550819/1/?bust=1597360599&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550819/1/?bust=1597360599&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550819/1/?bust=1597360599'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550819/1/?bust=1597360599&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550819/1/?bust=1597360599&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550819/1/?bust=1597360599&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550819/1/?bust=1597360599'}",[],adoptable,2020-07-21 15:06:52+00:00,2020-07-21 15:06:52+00:00,None,"{'email': 'adopt57@aheinz57.com', 'phone': '(515) 834-1157', 'address': {'address1': '4002 Ash Street', 'address2': 'None', 'city': 'De Soto', 'state': 'IA', 'postcode': '50069', 'country': 'US'}}","{'self': {'href': '/v2/animals/48550819'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/ia186'}}"
